,id del cliente,páginas visitadas,duración de la sesión,número de visitas,fecha de nacimiento,ubicación,dispositivo,convertido
0,1,9,91.23141776314917,39,1955-11-30 12:27:39.148023,Marte,tablet,Sí
1,2,5,740.4216980891094,11,1998-11-19 12:27:39.148023,Marte,móvil,No
2,3,6,15.947268090935967,3,1962-11-28 12:27:39.148023,Marte,tablet,Sí
3,4,5,950.4864431525975,18,1967-11-27 12:27:39.148023,Marte,móvil,Sí
4,5,5,63.65694334104971,26,1982-11-23 12:27:39.148023,Marte,ordenador,No
5,6,8,219.94165013611646,11,2005-11-17 12:27:39.148023,Marte,tablet,Sí
6,7,4,32.46602187364112,14,1977-11-24 12:27:39.148023,Marte,móvil,No
7,8,5,731.7774549003043,21,1967-11-27 12:27:39.148023,Marte,móvil,Sí
8,9,4,76.33141955260604,39,1962-11-28 12:27:39.148023,Marte,tablet,No
9,10,3,1427.4348207724913,3,1921-12-08 12:27:39.148023,Marte,móvil,Sí
10,11,3,157.26769100029034,29,1957-11-29 12:27:39.148023,Marte,ordenador,Sí
11,12,7,1045.4812995357968,5,2002-11-18 12:27:39.148023,Marte,tablet,No
12,13,3,701.1710273356099,21,1975-11-25 12:27:39.148023,Marte,móvil,Sí
13,14,3,1335.1502759457273,32,2000-11-18 12:27:39.148023,Marte,móvil,Sí
14,15,4,912.6009850570299,24,1992-11-20 12:27:39.148023,Marte,tablet,No
15,16,5,1074.491472958431,11,1980-11-23 12:27:39.148023,Marte,móvil,No
16,17,2,52.81140811007974,31,1974-11-25 12:27:39.148023,Marte,tablet,No
17,18,1,437.9432310507029,15,2005-11-17 12:27:39.148023,Marte,móvil,No
18,19,7,1610.6605612606324,8,1987-11-22 12:27:39.148023,Marte,ordenador,Sí
19,20,7,3207.218020856482,43,1978-11-24 12:27:39.148023,Marte,tablet,No
20,21,10,248.10629309994974,5,1967-11-27 12:27:39.148023,Marte,tablet,No
21,22,5,1393.1844114459277,14,2004-11-17 12:27:39.148023,Marte,móvil,Sí
22,23,8,436.7531662868747,26,1957-11-29 12:27:39.148023,Marte,ordenador,Sí
23,24,8,39.89472452374482,24,1986-11-22 12:27:39.148023,Marte,móvil,No
24,25,6,735.4213917828109,37,1968-11-26 12:27:39.148023,Marte,ordenador,No
25,26,4,1752.6472242967209,24,2003-11-18 12:27:39.148023,Marte,móvil,No
26,27,4,976.5567553524448,29,1975-11-25 12:27:39.148023,Marte,móvil,No
27,28,3,917.7626249621756,19,1996-11-19 12:27:39.148023,Marte,tablet,No
28,29,1,498.7609116531941,33,1971-11-26 12:27:39.148023,Marte,móvil,Sí
29,30,5,645.662576403424,6,1970-11-26 12:27:39.148023,Marte,tablet,Sí
30,31,6,19.86778563583744,9,1995-11-20 12:27:39.148023,Marte,ordenador,Sí
31,32,5,398.0902859208924,29,1986-11-22 12:27:39.148023,Marte,móvil,No
32,33,5,1233.1907228855475,42,1966-11-27 12:27:39.148023,Marte,móvil,Sí
33,34,4,2468.030365763905,37,1963-11-28 12:27:39.148023,Marte,tablet,No
34,35,1,1391.78580101385,21,1957-11-29 12:27:39.148023,Marte,ordenador,No
