,gasto_alimentacion,gasto_tecnologia,gasto_moda,frecuencia_compra,promociones_utilizadas,distancia_a_hipermercados,ingreso_cliente
0,437.0861069626262,318.4427468159985,246.2792628019295,7.0,6,56.23501640920522,319.51101553080935
1,955.6428757689246,835.7563736986193,235.23409930399987,3.0,8,52.60374668509461,430.4908850154449
2,758.7945476302646,1315.7714620207921,729.6909353907776,5.0,1,82.98001164433087,643.4835210197253
3,638.792635777333,1111.7260852938637,237.15964988712958,3.0,3,50.024690761400535,322.2594665526116
4,240.41677639819287,1219.513664399102,253.96229459647324,,3,38.49316418708224,366.7791655231881
5,240.3950683025824,1005.2358817305402,619.5486968134728,7.0,1,74.99890722131286,727.7711729581725
6,152.27525095137952,1053.801018550886,387.304881837905,4.0,2,56.23097083649424,332.4275980703196
7,879.5585311974417,1281.333694769713,632.5329177163859,4.0,7,57.14536815800603,658.2989196454546
8,641.0035105688879,412.01861284581963,99.02461817328893,6.0,8,38.89173983412055,381.1410109598526
9,737.2653200164409,759.6661972825536,415.67839525503825,6.0,5,47.539156140488906,719.3602336608842
10,118.52604486622221,370.7536906384232,,,9,46.286704649676736,-82.99589504241145
11,972.9188669457949,1482.1186115951382,96.98990259151589,4.0,1,49.83836165381234,607.3511859822315
12,849.1983767203795,1418.8860425455891,,6.0,1,70.6245308144408,941.3737065475733
13,291.10519961044855,107.16887648433355,154.43402833819636,6.0,6,51.59999545797187,272.1961917982969
14,263.64247048639055,1073.0840001477482,449.31551170641285,6.0,7,62.218180194493584,448.89089306555996
15,265.06405886809046,1391.6100602527154,358.3217019505299,6.0,7,55.383883885973574,378.89062948059495
16,373.8180186635839,311.83425043463365,310.507494694132,3.0,5,50.56151654336417,283.0780658879815
17,572.280788469014,873.5205843013127,724.8750092654543,5.0,9,58.39932679581342,335.5332736200051
18,488.7505167779042,1377.4580315026606,66.36754758161712,2.0,7,42.780134122244604,338.95956395972826
19,362.1062261782377,99.22166894940833,547.8422646316918,5.0,0,87.62601268570268,387.30361693142794
20,650.6676052501415,1061.2593875079178,772.5458256601628,3.0,8,67.97271909212523,430.1449006710759
21,225.54447458683765,481.1560606901986,470.12613759638145,,0,40.32247871506287,241.3941231422302
22,362.93018368169635,1390.3744832959692,752.6168465248189,,2,106.4704967816819,702.183467140784
23,429.7256589643225,1458.0344554897833,89.19340946451783,11.0,8,65.24459373926676,805.2028556860995
24,510.4629857953323,1419.1864092144792,364.094989305621,7.0,4,48.75546580867145,714.9834923403274
25,806.6583652537122,737.6106141533224,245.11834322153837,7.0,8,39.17335498431261,688.4211392491013
26,279.70640394252376,1299.9618439345045,598.1157237355474,4.0,8,85.8503827090942,384.4318944244508
27,562.8109945722504,1274.5966278758522,785.972817872935,1.0,5,67.64898002506314,494.235281737806
28,633.1731119758382,512.6956862027207,242.39754683318586,,0,58.88532762812048,525.972505296519
29,141.80537144799794,1251.927437518482,540.6309511055558,5.0,9,67.6641988385606,409.9300804491235
30,646.7903667112945,103.66107033746431,198.5732245698051,4.0,6,66.45395567895255,101.29621497171922
31,253.47171131856237,914.5913237989769,473.9976909287074,4.0,5,44.81258368604152,359.65402698574354
32,158.54643368675156,383.5128140671694,397.94936501625216,7.0,8,73.64733484603599,161.36789314124837
33,953.9969835279999,224.82198437705426,779.0039972236528,6.0,6,77.92586677319522,543.1066112173546
34,969.0688297671035,161.5821423623533,506.3954545223499,8.0,3,95.76458451081659,722.0958938558439
35,827.557613304815,1059.6187250233027,312.12977906511406,4.0,6,44.598996409901325,592.1537682072019
36,374.15239225603364,542.8186974636959,135.57183866595003,,1,36.88649747991819,403.35763367670245
37,187.90490260574546,1100.9118187167041,,0.0,5,26.93777195643105,109.21205020247052
38,715.8097238609412,144.76669415846644,218.98769746342631,4.0,5,62.76603838080032,240.23547690023727
39,496.13724436564115,507.17098985438497,238.2249960052235,1.0,1,50.68013909976041,59.84552090692543
40,209.83441136030095,832.262373944239,687.9620433808534,4.0,3,56.286368242174376,415.08426032007856
41,545.6592191001432,1196.548589016497,470.9170912118937,3.0,7,63.18203051085855,503.8853640854351
42,130.94966900369656,512.1911292515014,442.54318353077485,,7,61.55994016760827,236.8167915693062
43,918.3883618709039,957.5424958336632,136.07665390191312,6.0,7,63.82385840370535,562.157503995374
44,332.9019834400152,1334.6677349424713,695.1047700120762,6.0,7,54.90320957335712,540.6203478766475
45,696.2700559185838,943.0016228643416,,4.0,0,93.69616951568631,617.9214740947701
46,380.53996848046984,387.79123839276895,100.75127142500119,,1,53.84041975675542,391.29215394925035
47,568.0612190600298,85.38113325698012,580.8763229223265,5.0,3,96.41434555961365,365.08585853037846
48,592.0392514089517,1311.6433671563484,457.6536630069846,1.0,8,55.42731164544382,205.81767525249558
49,266.36900997297437,80.84064573306135,111.2940093100837,9.0,2,51.73015562847638,489.67837360532144
50,972.6261649881027,1318.317425392089,393.72548114649237,7.0,5,62.599852344622185,785.113588628031
51,797.6195410250031,816.9588443394574,413.5222153475352,5.0,6,58.518994381843164,701.5468614227747
52,945.5490474077702,1411.6481628436995,174.3309051224568,,7,60.81765598773033,492.8584380031055
53,905.3446153848839,1208.2356918718149,759.2736102502117,,6,67.67928899023819,643.233713613049
54,638.1099809299766,1497.0044602733394,687.4815286104964,4.0,2,72.41385939008282,673.9155065585585
55,929.6868115208051,558.5321324049797,,1.0,5,48.99279611630004,301.0208619788765
56,179.64325184672754,1162.423018950134,396.7216707504554,3.0,4,44.398759309334054,407.36027032975574
57,276.38457617723066,632.7998247334011,358.8241561883814,7.0,9,57.90393538638969,549.1540552011093
58,140.70456001948426,745.8196494406678,538.2301003632156,6.0,3,83.46281726397581,423.1155882632395
59,392.7972976869379,959.8829216666367,459.0739020551791,10.0,0,40.20467890069693,907.3126130068805
60,449.8095607205338,1316.831815570191,96.70482941141421,,6,62.82345420235093,236.7425151766187
61,344.2141285965063,1476.921030338978,434.37698657774877,5.0,7,79.73075285370285,442.7331903061193
62,845.8637582367364,1163.9964501035513,654.8027129246296,6.0,1,61.45913318132034,977.5628027454142
63,421.07799402423035,655.7618341426339,394.42990819771853,6.0,6,47.94118197956129,411.42071651076964
64,352.84105871864267,660.9676533017517,88.96743316570131,8.0,5,43.784045744485745,547.1765930934424
65,588.4264748424237,1119.4943373038927,639.7086495380248,4.0,4,73.57671365710388,482.12256125438915
66,226.83180247728637,396.22686136403837,201.0228366019808,3.0,3,52.73906000481823,253.1529158618382
67,821.9772826786357,210.18746404052226,243.96562616602907,3.0,1,43.02667061412474,596.3048649069062
68,167.09557931179376,564.202128579126,173.52976507422193,,9,47.230802059281665,244.31377978987535
69,988.1982429404655,466.4965378984185,297.66129865362313,7.0,5,50.87243198592776,838.1791608447646
70,795.0202923669917,479.64677466118565,617.5636292664763,2.0,4,82.07402949011329,221.59738737957807
71,278.8441133807552,388.73123902236944,439.539394627953,2.0,1,64.6649290498534,226.8032369329449
72,104.96990541124217,111.03512497272473,203.66095561303442,4.0,9,49.8552114133525,-79.52762629873752
73,833.9152856093507,75.91720536345002,708.3725586140306,6.0,6,66.57246547215512,428.9491844401739
74,736.1716094628554,1482.1974651172457,709.6863912136469,9.0,5,85.44508721548316,803.369327451263
75,756.1064512368886,670.2710439170004,702.9338187845052,11.0,8,81.00259318459214,648.7075596836223
76,794.1433120173511,607.2736383815385,229.09715853615447,4.0,9,48.07172404175271,193.93277658396644
77,166.64018656068134,1035.4885599049512,388.42950813574106,7.0,4,54.85016724826827,590.3380816183908
78,422.61915568984534,366.46813740434305,788.7422421056563,7.0,8,69.25277131911233,365.1577988043298
79,204.28215357261675,1427.4437167278268,629.0093572324928,3.0,8,67.0442397141835,269.72328317064887
80,876.7930832880342,1190.2002709025505,70.37556591916986,7.0,0,31.00682845206841,886.3412268170534
81,660.9683141448021,179.6459533527763,98.90344344536904,5.0,4,46.72076892604422,224.64647814947682
82,397.80822236738425,655.4921248881461,397.9485326092496,2.0,8,32.374770191494605,180.8729993454041
83,157.20251525742128,1324.7215459651388,731.9151543961701,9.0,6,65.40894226746045,645.9196391077465
84,379.88408954409596,1419.861432322545,454.02634846453566,6.0,5,55.79480736597322,587.0363651712687
85,392.66498982407234,727.7321913123111,423.35938102571765,3.0,5,34.948303261644,357.59854840295026
86,756.6455605042577,939.4465143555261,129.10527496747295,6.0,6,48.10155055833634,712.1458993984791
87,673.8017242196918,292.1992218335091,542.5850785432206,3.0,0,75.9821050165095,497.13634368241736
88,898.4914683186939,1487.194507898616,666.5773704501692,2.0,3,71.4210869350315,623.6566283398699
89,524.9934326457544,385.92396700599295,335.31500563067175,8.0,0,45.18665172759506,549.9498850003987
90,207.63482134447153,1416.9610724959323,631.7088881939956,4.0,5,79.88083220328959,219.77175715854983
91,741.9203085006955,991.9876410389343,773.3574904256087,5.0,3,81.96148800849905,671.0977865168427
92,784.7065437552077,931.2183525743458,202.82484434576682,,0,50.01526128539629,515.9747840579214
93,605.1494778125466,793.3983409739375,442.497223396056,,8,45.742390821970716,40.447888452942465
94,793.8704619591049,384.4712269907501,265.35346856343165,4.0,3,58.64735933050108,416.5036885322989
95,544.4160367279517,305.965646407987,644.6408142753795,3.0,5,55.338899096276236,312.9301953037087
96,570.4595464437946,369.7050031517543,483.19502441086814,11.0,6,56.873785584752206,737.8287486581701
97,484.78691652269464,320.33548010916905,525.9368131627278,6.0,7,81.29541586982484,458.2219236553673
98,122.87721406968566,1180.3974866717922,648.4356197119206,5.0,8,77.98540265719905,435.35743988596107
99,197.102284293974,557.6816257917586,346.9778544968412,5.0,8,49.90104504273356,305.6222988566348
100,128.28626711806083,133.87188101692473,736.3175513052824,5.0,7,46.650468016314775,32.08501021046615
101,672.7693701374023,1455.1988137041765,449.77165043460496,3.0,9,63.87352362011728,402.88817508484067
102,382.920382968694,1331.4895331969672,168.466117126511,6.0,2,58.38671048885191,696.004189902114
103,557.7136220482325,1395.2408106330588,571.9243386266019,4.0,1,60.57914736158541,678.1921441182718
104,916.8098265334837,1492.616342837331,644.9460128286908,5.0,4,86.38214527523432,752.5458901521305
105,324.36300623398745,302.14811136825654,287.571257800645,3.0,0,51.88839699523621,339.304651915143
106,469.3446307320668,624.5509274088552,692.8844427490648,7.0,2,66.25496955815325,649.5554187972126
107,779.9960246887438,1149.4457897709324,,3.0,0,92.87690576084321,679.159338924676
108,305.9183489424602,1059.2298961779989,257.67836553335667,6.0,2,45.691607411591306,484.76138473076685
109,169.2819188459137,273.14906419278987,787.6411045364165,7.0,3,95.3418989939433,273.89608823221135
110,360.77630762239124,1232.9580312363958,155.53364603656883,1.0,6,55.34280364950128,219.9751469905292
111,245.09915852860397,375.43882916315795,201.51175130186746,6.0,4,59.56558726424354,354.516963951927
112,936.7278871083157,374.5355414928035,188.1686294285196,4.0,4,55.790853730734476,459.40029552150145
113,827.3083416079753,828.6129131954497,720.4922825059028,2.0,0,82.99096181639312,681.256419730294
114,670.0633808593811,909.7629055204695,540.7194142437214,2.0,7,78.2284564746965,440.104166888573
115,884.3145311689459,891.1250013648262,164.07821241670467,5.0,3,42.73181052944731,609.5249004883952
116,823.304869209203,182.65591422674456,380.24256377626176,5.0,9,50.62525722344808,291.8604163360551
117,267.91305299743226,1322.3182508140515,511.4735188023515,3.0,4,88.74586266061752,483.2977778993402
118,903.30309864098,435.1200617536238,112.59806374203747,5.0,1,57.19259711585617,631.92958626902
119,585.4080177240857,237.79663586006606,711.812276305504,11.0,0,82.51880197290447,800.1071399396558
120,826.6961396476563,1338.684715810017,652.7026515811514,2.0,8,43.56370030356003,506.9174338282929
121,906.4821699311439,1435.6946724331424,428.9050801824787,6.0,1,47.86775881092742,857.3366525892712
122,386.2031274746775,1300.0850450349035,775.3449614443779,5.0,5,70.22566167975296,540.9013695237991
123,199.04673207490907,1223.7983083510733,363.3207344563248,3.0,0,38.96742431938387,534.1671342471839
124,305.1416462877475,1000.1008719265815,788.0827392773733,4.0,0,88.556364317059,540.2542802250522
125,484.3970097636307,848.743187383252,550.9399991027203,,8,44.620369603356764,639.628991065012
126,836.2132893302438,176.1308018715447,526.0034549404561,,3,87.54953621851969,328.4449233115826
127,874.6575249307091,642.2571589525131,174.46617147183875,8.0,8,63.292382494032296,650.0131623635202
128,106.25691747807163,590.3983496678553,711.445818728483,3.0,4,71.85237392596697,325.9153850773684
