,Unnamed: 0,gasto_alimentacion,gasto_tecnologia,gasto_moda,frecuencia_compra,promociones_utilizadas,distancia_a_hipermercados,ingreso_cliente,ids
0,0,593.9321535345923,650.2456187590253,331.0951483119813,4.0,1,48.83371754526812,444.1447467551329,5000
1,1,743.6704297351775,962.94653892456,371.514485609712,5.0,5,50.615011104933984,470.23036483585327,5001
2,2,642.4870384644795,1178.9471828410078,562.2924641720124,,7,61.15841132413105,645.7775710302137,5002
3,3,590.3948646972071,1284.7588017110595,500.7108421436101,6.0,5,63.33553641915269,895.3891940995263,5003
4,4,481.2893194050142,1233.7984348853922,102.862234623359,2.0,6,56.261429402694986,307.2496111297802,5004
5,5,681.3047017599905,290.811778460456,168.1083943080552,5.0,3,56.44678912891028,306.5927680441664,5005
6,6,493.8284901364233,1251.1648511301992,102.91676519175962,4.0,4,47.14746660824242,596.5466390225214,5006
7,7,902.5957007038718,135.0121353814696,75.94259431570009,8.0,6,54.8668870065735,402.5526321932624,5007
8,8,967.2964844509264,340.2474882483245,632.0036884587803,,7,49.18808685004995,599.3320633962579,5008
9,9,445.0973669431999,953.2437440956844,688.2191807472393,4.0,3,79.54836845763874,532.1190514367163,5009
10,10,812.5525342743981,216.3041618980113,362.1333741695873,6.0,1,42.51396120771152,655.0458190801842,5010
11,11,576.005427777614,924.85401283149,776.6305883917906,6.0,9,78.65709503381728,323.10681689446903,5011
12,12,611.2401049845391,496.5502524771675,697.6982766772483,3.0,3,70.9932313600783,471.86507178952536,5012
13,13,933.0369744633948,672.7265484742401,695.2887829063097,6.0,5,69.15098933546747,734.1251715939179,5013
14,14,163.93245237809825,506.9696799959432,325.3882999497026,3.0,2,50.80038721615768,264.7937641434737,5014
15,15,178.41636973138662,151.7516734041115,765.7603723282622,6.0,9,92.65783881462772,48.94540403194475,5015
16,16,118.19655769629316,776.1001917368434,611.6973842253979,2.0,7,31.533253840951232,110.40348466855566,5016
17,17,849.3578609931442,1447.2191943725868,315.26932183079333,1.0,1,55.41776246407218,623.2727254153715,5017
18,18,800.3410758548654,937.0858548321844,716.6246704587205,3.0,4,83.76401592579171,679.6215161204765,5018
19,19,883.0109334221372,485.0462138448317,53.08422497384664,3.0,5,55.01583232572971,282.28586950922454,5019
20,20,980.7565080094876,1436.4172594798276,478.6932809254123,3.0,3,45.05927112659885,655.027351093379,5020
21,21,819.2427077950513,614.3940153307296,440.12959475164433,2.0,7,35.73131020122493,313.5776614741958,5021
22,22,515.3314260276386,1061.4007141098232,111.34245539769644,2.0,1,67.68962186124114,304.5267687887288,5022
23,23,802.4762586578099,969.463567137544,696.7673671270151,7.0,7,101.08912461560308,583.3666920868936,5023
24,24,206.4469832820399,1431.7207296563347,261.28337570937515,4.0,3,46.15021272437777,444.4998814124854,5024
